(37.484938,78)
(35.098865,78)
(-120.612393,78)
(38.019366,78)
(Martinez,78)
(-123.017223,78)
(38.693723,78)
(Markleeville,78)
(38.40765,78)
(38.805462,78)
(Oceano,78)
(67,77)
(24,76)
(51,75)
(36,73)
(28,71)
(74,71)
(20,69)
(26,66)
(44,66)
(unsafe tail distance,65)
(63,63)
(38,52)
(59,50)
(52,47)
(29,44)
(49,44)
(65,36)
(72,24)
(30,18)
(88,17)
(91,16)
(81,16)
(89,9)
(90,8)
(78,7)
(77,7)
(94,3)
(79,3)
(86,1)
(idling_ind,1)
(state,1)
(city,1)
(truckid,1)
(100,1)
(event,1)
(velocity,1)
(event_ind,1)
(longitude,1)
(latitude,1)
(driverid,1)
(85,1)
(226.657223796034)
(15549)
(1)
